info	erqa_mean	erqa_min	erqa_max	SI_mean	SI_min	SI_max	TI_mean	TI_min	TI_max	ssim_0_mean	ssim_0_min	ssim_0_max	ssim_1_mean	ssim_1_min	ssim_1_max	ssim_2_mean	ssim_2_min	ssim_2_max	lpips_mean	lpips_min	lpips_max	gabor_0_mean	gabor_0_min	gabor_0_max	gabor_1_mean	gabor_1_min	gabor_1_max	gabor_2_mean	gabor_2_min	gabor_2_max	gabor_3_mean	gabor_3_min	gabor_3_max	gabor_4_mean	gabor_4_min	gabor_4_max	gabor_5_mean	gabor_5_min	gabor_5_max	sobel_mean	sobel_min	sobel_max	lbp_mean	lbp_min	lbp_max	haff_mean	haff_min	haff_max	sobel_sd_mean	sobel_sd_min	sobel_sd_max	optical_mean	optical_min	optical_max	fft_mean	fft_min	fft_max	laplac_mean	laplac_min	laplac_max	colorfulness_diff_mean	colorfulness_diff_min	colorfulness_diff_max	colorfulness_mean	colorfulness_min	colorfulness_max	hist_mean	hist_min	hist_max	subjective
img01.bmp@img01_4_01.bmp	0.04542755344418052	0.04542755344418052	0.04542755344418052	20155920.0	20155920.0	20155920.0	0.0	0	0	0.7471248616257293	0.7471248616257293	0.7471248616257293	0.9907145031871583	0.9907145031871583	0.9907145031871583	0.9834013953374624	0.9834013953374624	0.9834013953374624	0.4652	0.4652	0.4652	-4.812769342806411	-4.812769342806411	-4.812769342806411	-4.812769342806411	-4.812769342806411	-4.812769342806411	-11.556269404430182	-11.556269404430182	-11.556269404430182	-11.556269404430182	-11.556269404430182	-11.556269404430182	-23.062691707790623	-23.062691707790623	-23.062691707790623	-23.062691707790623	-23.062691707790623	-23.062691707790623	7526.088	7526.088	7526.088	-578.7408746580804	-578.7408746580804	-578.7408746580804	187.78711350888804	187.78711350888804	187.78711350888804	8937.765	8937.765	8937.765	0.2733456	0.2733456	0.2733456	170.43586035281248	170.43586035281248	170.43586035281248	16405.844690231588	16405.844690231588	16405.844690231588	0.26956755729212034	0.26956755729212034	0.26956755729212034	41.23966474144926	41.23966474144926	41.23966474144926	0.013292092240134041	0.013292092240134041	0.013292092240134041	0.05504
img01.bmp@img01_2_16.bmp	0.7538365173817725	0.7538365173817725	0.7538365173817725	27670726.0	27670726.0	27670726.0	0.0	0	0	0.9246052606233447	0.9246052606233447	0.9246052606233447	0.9959714443469059	0.9959714443469059	0.9959714443469059	0.9938900059557103	0.9938900059557103	0.9938900059557103	0.086	0.086	0.086	-0.9035914120572752	-0.9035914120572752	-0.9035914120572752	-0.9035914120572752	-0.9035914120572752	-0.9035914120572752	-1.1952789349904125	-1.1952789349904125	-1.1952789349904125	-1.1952789349904125	-1.1952789349904125	-1.1952789349904125	-0.37265128268706227	-0.37265128268706227	-0.37265128268706227	-0.37265128268706227	-0.37265128268706227	-0.37265128268706227	723.35236	723.35236	723.35236	-243.04937769926505	-243.04937769926505	-243.04937769926505	11387.213443156319	11387.213443156319	11387.213443156319	1171.1172	1171.1172	1171.1172	0.0016848408	0.0016848408	0.0016848408	76.00844999429668	76.00844999429668	76.00844999429668	6387.132063766961	6387.132063766961	6387.132063766961	0.01718038706761149	0.01718038706761149	0.01718038706761149	41.49205191167377	41.49205191167377	41.49205191167377	0.010267402157481004	0.010267402157481004	0.010267402157481004	0.95704
img01.bmp@img01_4_07.bmp	0.45485714285714285	0.45485714285714285	0.45485714285714285	27068088.0	27068088.0	27068088.0	0.0	0	0	0.8033764612610521	0.8033764612610521	0.8033764612610521	0.9910330151065473	0.9910330151065473	0.9910330151065473	0.9818950566911837	0.9818950566911837	0.9818950566911837	0.2807	0.2807	0.2807	-1.3041713019710381	-1.3041713019710381	-1.3041713019710381	-1.3041713019710381	-1.3041713019710381	-1.3041713019710381	-1.8942755350338798	-1.8942755350338798	-1.8942755350338798	-1.8942755350338798	-1.8942755350338798	-1.8942755350338798	-1.791730156564199	-1.791730156564199	-1.791730156564199	-1.791730156564199	-1.791730156564199	-1.791730156564199	3114.481	3114.481	3114.481	-504.4283893676089	-504.4283893676089	-504.4283893676089	9384.289957157122	9384.289957157122	9384.289957157122	5432.23	5432.23	5432.23	0.09054481	0.09054481	0.09054481	117.19672851017785	117.19672851017785	117.19672851017785	13380.034230150533	13380.034230150533	13380.034230150533	0.05520350633955928	0.05520350633955928	0.05520350633955928	41.45402879240182	41.45402879240182	41.45402879240182	0.020594540526344372	0.020594540526344372	0.020594540526344372	0.32439
img01.bmp@img01_3_18.bmp	0.5856564645959343	0.5856564645959343	0.5856564645959343	27482604.0	27482604.0	27482604.0	0.0	0	0	0.8634686173892185	0.8634686173892185	0.8634686173892185	0.9950095103893425	0.9950095103893425	0.9950095103893425	0.9919243498123487	0.9919243498123487	0.9919243498123487	0.1964	0.1964	0.1964	-1.4671110166748385	-1.4671110166748385	-1.4671110166748385	-1.4671110166748385	-1.4671110166748385	-1.4671110166748385	-1.626426196071532	-1.626426196071532	-1.626426196071532	-1.626426196071532	-1.626426196071532	-1.626426196071532	-2.890297784508213	-2.890297784508213	-2.890297784508213	-2.890297784508213	-2.890297784508213	-2.890297784508213	1516.7219	1516.7219	1516.7219	-358.8370103542833	-358.8370103542833	-358.8370103542833	9790.905780365778	9790.905780365778	9790.905780365778	3040.7942	3040.7942	3040.7942	0.01547409	0.01547409	0.01547409	99.94117726172965	99.94117726172965	99.94117726172965	9637.711554098307	9637.711554098307	9637.711554098307	0.03613824223189965	0.03613824223189965	0.03613824223189965	41.47309405650948	41.47309405650948	41.47309405650948	0.010404640438979243	0.010404640438979243	0.010404640438979243	0.7398
img01.bmp@img01_3_01.bmp	0.2696907727582575	0.2696907727582575	0.2696907727582575	22788734.0	22788734.0	22788734.0	0.0	0	0	0.7995410710855616	0.7995410710855616	0.7995410710855616	0.9937094735964725	0.9937094735964725	0.9937094735964725	0.9893713062979468	0.9893713062979468	0.9893713062979468	0.3425	0.3425	0.3425	-2.9610974981747744	-2.9610974981747744	-2.9610974981747744	-2.9610974981747744	-2.9610974981747744	-2.9610974981747744	-7.152582859214424	-7.152582859214424	-7.152582859214424	-7.152582859214424	-7.152582859214424	-7.152582859214424	-12.572770371056883	-12.572770371056883	-12.572770371056883	-12.572770371056883	-12.572770371056883	-12.572770371056883	5186.308	5186.308	5186.308	-480.7265334886353	-480.7265334886353	-480.7265334886353	2680.6672676779563	2680.6672676779563	2680.6672676779563	6983.324	6983.324	6983.324	0.12325358	0.12325358	0.12325358	133.4565546085807	133.4565546085807	133.4565546085807	13653.30582679521	13653.30582679521	13653.30582679521	0.15403256719324077	0.15403256719324077	0.15403256719324077	41.35519973154814	41.35519973154814	41.35519973154814	0.010856713191885631	0.010856713191885631	0.010856713191885631	0.16693
img01.bmp@img01_2_11.bmp	0.7034131349077968	0.7034131349077968	0.7034131349077968	27641310.0	27641310.0	27641310.0	0.0	0	0	0.9119654383257363	0.9119654383257363	0.9119654383257363	0.995974449958384	0.995974449958384	0.995974449958384	0.9939703921224877	0.9939703921224877	0.9939703921224877	0.092	0.092	0.092	-1.0555455443567505	-1.0555455443567505	-1.0555455443567505	-1.0555455443567505	-1.0555455443567505	-1.0555455443567505	-1.8519859687069709	-1.8519859687069709	-1.8519859687069709	-1.8519859687069709	-1.8519859687069709	-1.8519859687069709	-0.8772184661608903	-0.8772184661608903	-0.8772184661608903	-0.8772184661608903	-0.8772184661608903	-0.8772184661608903	1059.1112	1059.1112	1059.1112	-308.38774294708924	-308.38774294708924	-308.38774294708924	10393.135186265981	10393.135186265981	10393.135186265981	2067.1763	2067.1763	2067.1763	0.006141421	0.006141421	0.006141421	83.75454449377811	83.75454449377811	83.75454449377811	7582.727741387001	7582.727741387001	7582.727741387001	0.03527733625914209	0.03527733625914209	0.03527733625914209	41.47395496248224	41.47395496248224	41.47395496248224	0.009921045233247949	0.009921045233247949	0.009921045233247949	0.87093
img01.bmp@img01_3_11.bmp	0.4995180258338154	0.4995180258338154	0.4995180258338154	26506752.0	26506752.0	26506752.0	0.0	0	0	0.8191290595606748	0.8191290595606748	0.8191290595606748	0.9953169388661413	0.9953169388661413	0.9953169388661413	0.992537912777378	0.992537912777378	0.992537912777378	0.2135	0.2135	0.2135	-1.816038274314254	-1.816038274314254	-1.816038274314254	-1.816038274314254	-1.816038274314254	-1.816038274314254	-3.121969630877217	-3.121969630877217	-3.121969630877217	-3.121969630877217	-3.121969630877217	-3.121969630877217	-5.510417904059272	-5.510417904059272	-5.510417904059272	-5.510417904059272	-5.510417904059272	-5.510417904059272	3635.439	3635.439	3635.439	-555.9559335055252	-555.9559335055252	-555.9559335055252	7777.7170815092	7777.7170815092	7777.7170815092	5127.909	5127.909	5127.909	0.10769314	0.10769314	0.10769314	120.28186461934095	120.28186461934095	120.28186461934095	13499.806072681193	13499.806072681193	13499.806072681193	0.019771942268590692	0.019771942268590692	0.019771942268590692	41.48946035647279	41.48946035647279	41.48946035647279	0.00853220341683125	0.00853220341683125	0.00853220341683125	0.2815
img01.bmp@img01_4_20.bmp	0.49390546031116833	0.49390546031116833	0.49390546031116833	27416908.0	27416908.0	27416908.0	0.0	0	0	0.8205110478302713	0.8205110478302713	0.8205110478302713	0.9915199318971261	0.9915199318971261	0.9915199318971261	0.9843658508463717	0.9843658508463717	0.9843658508463717	0.2645	0.2645	0.2645	-0.4792468269627543	-0.4792468269627543	-0.4792468269627543	-0.4792468269627543	-0.4792468269627543	-0.4792468269627543	-0.9760801010182463	-0.9760801010182463	-0.9760801010182463	-0.9760801010182463	-0.9760801010182463	-0.9760801010182463	-2.304594299829462	-2.304594299829462	-2.304594299829462	-2.304594299829462	-2.304594299829462	-2.304594299829462	2549.7495	2549.7495	2549.7495	-474.8620852415994	-474.8620852415994	-474.8620852415994	8823.438105409932	8823.438105409932	8823.438105409932	4831.743	4831.743	4831.743	0.06150316	0.06150316	0.06150316	112.79910929823306	112.79910929823306	112.79910929823306	12128.268301781587	12128.268301781587	12128.268301781587	0.048479859906485956	0.048479859906485956	0.048479859906485956	41.55771215864787	41.55771215864787	41.55771215864787	0.02922062804155297	0.02922062804155297	0.02922062804155297	0.55649
img01.bmp@img01_4_03.bmp	0.3301300169587338	0.3301300169587338	0.3301300169587338	24378278.0	24378278.0	24378278.0	0.0	0	0	0.7774148595480126	0.7774148595480126	0.7774148595480126	0.9919148122389045	0.9919148122389045	0.9919148122389045	0.9855255899242221	0.9855255899242221	0.9855255899242221	0.3279	0.3279	0.3279	-1.5075291777632793	-1.5075291777632793	-1.5075291777632793	-1.5075291777632793	-1.5075291777632793	-1.5075291777632793	-2.485356924833863	-2.485356924833863	-2.485356924833863	-2.485356924833863	-2.485356924833863	-2.485356924833863	-5.002824700881885	-5.002824700881885	-5.002824700881885	-5.002824700881885	-5.002824700881885	-5.002824700881885	5091.0547	5091.0547	5091.0547	-541.5634773505318	-541.5634773505318	-541.5634773505318	6175.240238241748	6175.240238241748	6175.240238241748	8328.2295	8328.2295	8328.2295	0.13145782	0.13145782	0.13145782	135.08279508029347	135.08279508029347	135.08279508029347	14939.701335702799	14939.701335702799	14939.701335702799	0.0752092181648294	0.0752092181648294	0.0752092181648294	41.43402308057655	41.43402308057655	41.43402308057655	0.018767576910105197	0.018767576910105197	0.018767576910105197	0.15295
img01.bmp@img01_2_08.bmp	0.7470011331223382	0.7470011331223382	0.7470011331223382	27790240.0	27790240.0	27790240.0	0.0	0	0	0.9200826155978538	0.9200826155978538	0.9200826155978538	0.9963165259622149	0.9963165259622149	0.9963165259622149	0.9945419266590297	0.9945419266590297	0.9945419266590297	0.0996	0.0996	0.0996	-1.1561314603647819	-1.1561314603647819	-1.1561314603647819	-1.1561314603647819	-1.1561314603647819	-1.1561314603647819	-1.6532355918485826	-1.6532355918485826	-1.6532355918485826	-1.6532355918485826	-1.6532355918485826	-1.6532355918485826	-0.49205407657389555	-0.49205407657389555	-0.49205407657389555	-0.49205407657389555	-0.49205407657389555	-0.49205407657389555	808.44586	808.44586	808.44586	-223.29576798497547	-223.29576798497547	-223.29576798497547	11220.41091047917	11220.41091047917	11220.41091047917	1276.3408	1276.3408	1276.3408	0.0016843004	0.0016843004	0.0016843004	78.41256153028515	78.41256153028515	78.41256153028515	6771.4568594948605	6771.4568594948605	6771.4568594948605	0.017125101721156	0.017125101721156	0.017125101721156	41.492107197020225	41.492107197020225	41.492107197020225	0.009022815180229592	0.009022815180229592	0.009022815180229592	0.92393
